Ticker,Date,Tweetcount,Indicoscore,Textblobscore,Price
AAPL,11/5/15,"1,674",0.488958,0.055906,120.92
DIS,11/5/15,"1,176",0.395423,0.089518,113
AAPL,11/4/15,"1,096",0.505078,0.088097,122
AAPL,11/6/15,979,0.502267,0.071207,121.06
AAPL,11/25/15,910,0.509424,0.087171,118.03
AAPL,11/19/15,706,0.469386,0.081198,118.78
AAPL,11/27/15,695,0.508136,0.109693,117.81
AAPL,11/13/15,682,0.493403,0.069802,112.34
AAPL,12/11/15,616,0.471716,0.086487,113.18
AAPL,12/4/15,517,0.495456,0.120146,119.03
AAPL,11/24/15,491,0.487275,0.051338,118.88
MSFT,11/5/15,452,0.501064,0.103651,54.38
AAPL,12/3/15,449,0.520752,0.083765,115.2
DIS,11/6/15,427,0.39653,0.045071,115.67
AAPL,12/9/15,388,0.511774,0.078564,115.62
GE,11/5/15,357,0.38897,0.122387,29.64
MSFT,11/4/15,343,0.442949,0.163584,54.4
GS,11/6/15,341,0.377465,0.071489,199.17
XOM,11/5/15,286,0.524131,0.142769,84.81
CSCO,11/13/15,283,0.361275,0.02032,26.21
DIS,11/4/15,279,0.399971,0.090962,113.25
MSFT,11/6/15,278,0.473675,0.123248,54.92
AAPL,12/10/15,260,0.513314,0.125326,116.17
AAPL,12/2/15,256,0.55646,0.053362,116.28
MRK,11/6/15,216,0.326761,0.02871,54.61
INTC,11/5/15,208,0.536538,-0.073866,34
AAPL,12/8/15,207,0.535276,0.040009,118.23
INTC,11/6/15,206,0.351782,0.020545,33.84
AAPL,12/1/15,203,0.493709,0.072756,117.34
XOM,11/6/15,191,0.52686,0.04169,84.47
JPM,11/5/15,189,0.420873,0.032055,66.44
DIS,11/25/15,187,0.450685,0.039676,118.67
GS,11/5/15,185,0.407158,0.066981,192.02
IBM,11/6/15,185,0.534946,0.057004,138.25
GE,11/13/15,181,0.395492,0.048794,30.28
DIS,11/27/15,179,0.40707,0.043627,115.13
JPM,11/6/15,177,0.318545,0.045233,68.46
MSFT,11/25/15,173,0.382473,0.050779,53.69
GS,11/25/15,167,0.532793,0.029298,189.15
GE,12/8/15,166,0.146283,0.001919,30.19
WMT,11/27/15,164,0.439207,-0.005592,59.89
PFE,11/19/15,160,0.65423,0.040521,32.29
NKE,11/25/15,158,0.497786,0.100502,134.13
GS,11/27/15,156,0.555297,0.078708,190.47
INTC,11/13/15,152,0.389836,0.039465,32.11
CSCO,11/6/15,152,0.498829,0.07137,28.45
GE,11/6/15,149,0.450435,0.046209,29.92
DD,12/9/15,137,0.396305,0.121304,74.49
CVX,11/6/15,134,0.337079,-0.006037,94.03
JPM,11/13/15,131,0.482026,0.013921,65.56
WMT,11/25/15,130,0.537634,0.12741,60.24
PFE,11/25/15,128,0.557599,0.07516,32.87
MSFT,11/19/15,128,0.467344,0.060714,53.94
CSCO,11/5/15,127,0.393563,0.072772,28.43
JNJ,11/6/15,126,0.470532,0.142643,101.92
DIS,12/9/15,125,0.529427,0.052749,111.47
HD,11/25/15,123,0.539477,0.047233,134.65
MSFT,11/13/15,123,0.421592,0.099439,52.84
V,11/6/15,123,0.644315,0.066618,78.75
GS,12/3/15,121,0.545327,0.114811,185.2
GS,11/4/15,120,0.414172,0.069499,191.65
XOM,11/27/15,119,0.632098,0.016778,81.23
VZ,11/6/15,114,0.377234,0.053099,45.78
DIS,12/11/15,109,0.402863,0.086587,108.04
CVX,12/10/15,107,0.419622,0.012921,89.3
GE,12/9/15,106,0.254377,0.050091,30.47
PFE,11/6/15,106,0.587324,-0.178547,33.93
DIS,11/13/15,105,0.338088,0.053885,114.84
WMT,11/19/15,105,0.530966,0.063481,60.7
WMT,11/6/15,104,0.488203,0.041097,58.78
DD,12/11/15,101,0.513657,0.109849,70.44
WMT,11/13/15,100,0.552391,0.085891,56.42
GS,12/11/15,100,0.423822,-0.012982,176.56
GS,12/8/15,98,0.359843,0.137871,182.92
NKE,11/24/15,96,0.380106,0.303385,132.51
INTC,11/25/15,94,0.447087,0.065146,34.45
MSFT,11/27/15,94,0.5304,0.072294,53.93
XOM,11/25/15,94,0.586477,0.01571,81.25
CAT,11/6/15,93,0.543121,-0.004301,73.84
